Unnamed: 0,customer_id,date_registered,gender,birthdate,current_location,employer,job,age,salary,credit_card_provider
0,cf96b84be9,9/29/2021,M,3/11/1978,General Region,Industry Category,Management,45-54,50K-75K,VISA 19 digit
1,389c7185ed,8/17/2019,F,11/29/1970,General Region,Industry Category,Science & Research,35-44,75K-100K,Discover
2,7a9394657a,11/1/2019,M,4/23/2009,General Region,Industry Category,Management,45-54,150K+,VISA 16 digit
3,511d9da921,12/31/2021,F,7/27/1992,General Region,Industry Category,Healthcare & Counseling,25-34,100K-150K,VISA 16 digit
4,9535dcb567,8/9/2020,F,9/16/1989,General Region,Industry Category,Engineering,55-64,100K-150K,JCB 16 digit
5,94293f1d5c,12/29/2021,M,12/8/1935,General Region,Industry Category,Other,45-54,30K-50K,American Express
6,b5a2fb7872,9/13/2019,F,6/2/1981,General Region,Industry Category,Management,55-64,150K+,JCB 16 digit
7,782440d2a5,10/6/2021,F,11/5/1923,General Region,Industry Category,Other,45-54,50K-75K,Diners Club / Carte Blanche
8,fc2c458dc0,11/1/2021,F,6/17/2001,General Region,Industry Category,Other,65+,150K+,VISA 19 digit
9,1153f50786,4/1/2020,F,1/27/1931,General Region,Industry Category,Other,18-24,75K-100K,VISA 19 digit
10,549d1f75a0,8/21/2021,M,3/27/1909,General Region,Industry Category,Other,45-54,50K-75K,Mastercard
11,3d69b1b96a,8/22/2021,F,1/11/1960,General Region,Industry Category,Other,35-44,100K-150K,Discover
12,bba0ccc9e9,7/18/2019,M,10/15/1996,General Region,Industry Category,Other,55-64,75K-100K,Diners Club / Carte Blanche
13,48c90aec1b,7/1/2020,M,7/16/1999,General Region,Industry Category,Other,25-34,75K-100K,VISA 19 digit
14,1748c4e3ca,5/9/2022,M,6/8/1928,General Region,Industry Category,Management,55-64,100K-150K,American Express
15,67270a3feb,6/21/2022,F,7/18/1929,General Region,Industry Category,Other,25-34,100K-150K,JCB 15 digit
16,9a80330303,8/24/2019,F,7/16/1993,General Region,Industry Category,Other,45-54,50K-75K,JCB 16 digit
17,6362768a45,8/18/2021,F,1/10/2014,General Region,Industry Category,Other,45-54,<30K,VISA 19 digit
18,e309147501,4/25/2020,M,7/21/1950,General Region,Industry Category,Other,35-44,150K+,Discover
19,bf2daf1a2b,10/14/2019,M,4/14/2014,General Region,Industry Category,Other,35-44,150K+,JCB 16 digit
20,5176151184,9/17/2020,M,3/19/1962,General Region,Industry Category,Management,45-54,100K-150K,VISA 13 digit
21,b1aba869aa,2/23/2020,F,9/6/1988,General Region,Industry Category,Other,35-44,<30K,VISA 13 digit
22,2c0100413b,1/25/2022,M,10/3/1948,General Region,Industry Category,Other,18-24,30K-50K,Discover
23,66b3ab08b3,11/15/2019,M,12/8/1992,General Region,Industry Category,Other,35-44,100K-150K,VISA 16 digit
24,f825a1e704,6/1/2022,F,8/15/1978,General Region,Industry Category,Management,45-54,100K-150K,Maestro
25,b7d5fb69da,11/18/2021,M,7/23/1956,General Region,Industry Category,Other,18-24,100K-150K,VISA 16 digit
26,87cd73606d,2/16/2021,F,5/19/1973,General Region,Industry Category,Technology,35-44,100K-150K,Diners Club / Carte Blanche
27,643cdd64e6,7/27/2020,M,10/18/1992,General Region,Industry Category,Other,18-24,50K-75K,Discover
28,13426db36b,8/7/2020,M,9/10/1934,General Region,Industry Category,Other,55-64,30K-50K,Diners Club / Carte Blanche
29,aa5cb4d03b,7/21/2021,M,1/11/1931,General Region,Industry Category,Other,25-34,150K+,Diners Club / Carte Blanche
30,f56ed45c99,6/13/2020,F,6/13/1996,General Region,Industry Category,Other,45-54,150K+,Discover
31,503e832857,10/23/2021,M,6/7/1982,General Region,Industry Category,Other,25-34,150K+,JCB 15 digit
32,c904fcfdb7,6/1/2021,F,3/26/1973,General Region,Industry Category,Other,25-34,30K-50K,JCB 16 digit
33,12299ad383,9/24/2021,M,12/30/1953,General Region,Industry Category,Other,25-34,100K-150K,Diners Club / Carte Blanche
34,571945f286,7/31/2020,M,4/27/1942,General Region,Industry Category,Management,18-24,30K-50K,Maestro
35,4fe1ae20b6,2/18/2022,F,7/17/2004,General Region,Industry Category,Engineering,55-64,150K+,Mastercard
36,569ee007fb,9/18/2020,F,12/25/1960,General Region,Industry Category,Other,18-24,150K+,JCB 16 digit
37,f7df3505ba,5/7/2021,M,4/18/1952,General Region,Industry Category,Other,35-44,30K-50K,VISA 16 digit
38,b2ca624538,2/18/2022,F,11/11/1984,General Region,Industry Category,Other,45-54,<30K,VISA 16 digit
39,0c32b40880,10/17/2019,M,4/29/1997,General Region,Industry Category,Engineering,35-44,<30K,Mastercard
40,b84b117ee7,9/30/2021,M,3/25/1972,General Region,Industry Category,Other,55-64,100K-150K,JCB 16 digit
41,0cc95af546,9/30/2020,M,3/14/1985,General Region,Industry Category,Engineering,55-64,100K-150K,American Express
42,b7d29dbd27,3/20/2020,F,7/30/1929,General Region,Industry Category,Engineering,45-54,150K+,VISA 16 digit
43,13271a37e6,4/1/2022,M,11/20/1927,General Region,Industry Category,Technology,18-24,50K-75K,Mastercard
44,d633d173bd,1/20/2021,F,10/31/2016,General Region,Industry Category,Other,35-44,75K-100K,VISA 16 digit
45,f6fd222ee5,3/31/2022,M,10/15/1983,General Region,Industry Category,Other,55-64,50K-75K,JCB 15 digit
46,632950e12d,7/29/2019,M,11/10/1943,General Region,Industry Category,Engineering,55-64,150K+,JCB 16 digit
47,a42cf16431,9/3/2021,M,5/21/1973,General Region,Industry Category,Engineering,45-54,<30K,VISA 19 digit
48,11059fff40,1/31/2022,M,8/20/1941,General Region,Industry Category,Management,45-54,30K-50K,Diners Club / Carte Blanche
